bird_id,common_name,sex,scientific_name,family,length_lower,length_upper,body_mass_lower,body_mass_upper,wingspan_lower,wingspan_upper,NF_wing_bar,NF_long_neck,NF_colorful,NF_large_bill,NF_long_tail,NF_plumage,NF_long_legs,other,C_Black,C_White,C_Brown,C_Red,C_Grey,C_Orange_Yellow,C_Green,C_Blue,C_purple
157,American Kestrel,Both,Falco sparverius,Falconidae,22,31,0.08,0.165,51,61,0,0,0,0,0,0,0,N/A,1,1,1,1,1,1,0,0,0
158,Merlin,Both,Falco columbarius,Falconidae,21,30,0.16,0.24,53,68,0,0,0,0,0,0,0,N/A,1,1,0,0,1,1,0,0,0
159,Gyrfalcon,Both,Falco rusticolus,Falconidae,48,64,0.8,2.1,122,124,0,0,0,0,0,0,0,N/A,0,1,1,0,0,1,0,0,0
160,Peregrine Falcon,Both,Falco peregrinus,Falconidae,36,49,0.53,1.6,100,110,0,0,0,0,0,0,0,N/A,0,1,1,0,1,1,0,0,0
161,Prairie Falcon,Both,Falco mexicanus,Falconidae,37,47,0.42,1.1,90,113,0,0,0,0,0,0,0,N/A,1,1,1,0,0,1,0,0,0
162,Yellow Rail,Both,Coturnicops noveboracensis,Rallidae,13,18,0.041,0.068,28,32,0,0,0,0,0,0,0,N/A,1,0,1,0,0,1,0,0,0
163,Black Rail,Both,Laterallus jamaicensis,Rallidae,10,15,0.0029,0.0029,22,28,0,0,0,0,0,0,0,N/A,1,0,1,1,1,0,0,0,0
164,King Rail,Both,Rallus elegans,Rallidae,38,48,0.305,0.37,49,51,0,0,0,0,1,0,1,N/A,1,1,1,0,0,1,0,0,0
165,Virginia Rail,Both,Rallus limicola,Rallidae,20,27,0.065,0.095,32,38,0,0,0,1,0,0,1,N/A,1,0,1,1,0,0,0,0,0
166,Sora,Both, Porzana carolina,Rallidae,20,25,0.049,0.112,1000000000,1000000000,0,0,0,0,0,0,1,N/A,0,0,1,0,1,1,0,0,0
167,Purple Gallinule,Both,Porphyrio martinica,Rallidae,36,37,0.208,0.288,54,56,0,0,1,0,0,0,1,N/A,1,1,0,1,1,1,1,1,0
168,Common Gallinule,Both,Gallinula galeata,Rallidae,32,35,0.31,0.456,54,62,0,0,0,0,0,0,1,N/A,1,1,0,1,0,1,0,0,0
169,American Coot,Both,Fulica americana,Rallidae,39.4,42.9,0.6,0.7,58.4,63.5,0,0,0,0,0,0,0,N/A,1,1,0,0,0,0,0,0,0
170,Sandhill Crane,Both,Grus canadensis,Gruidae,119,121,3.4,4.9,199,201,0,1,0,1,0,0,1,N/A,0,1,1,1,1,0,0,0,0
171,Whooping Crane,Both,Grus americana,Gruidae,149,150,6,7.8,228,230,0,1,0,1,0,0,1,N/A,1,1,0,1,0,0,0,0,0
172,Black-Necked Stilt,Both,Himantopus mexicanus,Recurvirostridae,35,39,0.136,0.22,70,72,0,0,0,1,0,0,1,N/A,1,1,0,1,0,0,0,0,0
173,American Avocet,Both,Recurvirostra americana,Recurvirostridae,43,47,0.275,0.35,70,72,0,0,0,1,0,0,1,N/A,0,1,1,1,0,0,0,0,0
174,Black-Bellied Plover,Both,Pluvialis squatarola,Charadriidae,28,29,0.16,0.277,59,60,0,0,0,0,0,0,1,Similar to Golden-Plover,1,1,0,0,0,0,0,0,0
175,American Golden-Plover,Both,Pluvialis dominica,Charadriidae,24,28,0.122,0.194,56,58,0,0,0,0,0,0,1,Similar to Black-Bellied Plover,0,1,1,0,0,0,0,0,0
176,Snowy Plover,Both,Charadrius nivosus,Charadriidae,15,17,34,58,33,35,0,0,0,0,0,0,1,N/A,0,1,1,0,0,0,0,0,0
177,Semipalmated plover,Both,Charadrius semipalmatus,Charadriidae,17,19,0.047,0.048,1000000000,1000000000,0,0,0,0,0,0,1,N/A,1,1,0,1,1,0,0,0,0
178,Piping Plover,Both,Charadrius melodus,Charadriidae,17,18,0.043,0.063,1000000000,1000000000,0,0,0,0,0,0,0,N/A,1,1,0,0,1,1,0,0,0
179,Killdeer,Both,Charadrius vociferus,Charadriidae,20,28,0.075,0.128,46,48,0,0,0,0,0,0,1,N/A,1,1,1,0,0,0,0,0,0
180,Mountain Plover,Both,Charadrius montanus,Charadriidae,21,23,0.09,0.11,1000000000,1000000000,0,0,0,0,0,0,1,N/A,1,1,1,0,0,0,0,0,0
181,Spotted Sandpiper,Both,Actitis macularia,Scolopacidae,18,20,0.034,0.05,37,40,0,0,0,0,0,0,1,N/A,0,1,1,0,0,1,0,0,0
182,Solitary Sandpiper,Both,Tringa solitaria,Scolopacidae,19,23,0.031,0.065,1000000000,1000000000,0,0,0,1,0,0,1,N/A,0,1,1,0,0,1,0,0,0
